time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2016-08-06T21:52:12.60Z,39.7061093,-75.0304459,37.674,-2.69,-32.22,12.93,87.518,191.268,5.31,265.22207,7.36926,3,4
2016-08-06T21:52:13.60Z,39.7060275,-75.0307601,37.768,-3.72,-32.85,11.42,46.467,82.774,1.98,263.54037,3.82265,3,4
2016-08-06T21:52:13.80Z,39.7060207,-75.0308066,37.829,-3.23,-33.12,12.04,40.668,76.314,1.73,264.43161,3.45534,3,4
2016-08-06T21:52:14.00Z,39.7060163,-75.0308724,36.361,-2.88,-33.42,12.69,37.114,71.491,1.61,265.07593,3.17023,3,4
2016-08-06T21:52:14.20Z,39.7060129,-75.0309408,34.553,-2.92,-33.54,12.79,34.669,67.705,1.54,265.03265,2.96934,3,4
2016-08-06T21:52:14.40Z,39.7060060,-75.0310169,33.287,-3.00,-34.53,12.97,32.728,64.496,1.46,265.02762,2.74674,3,4
2016-08-06T21:52:14.60Z,39.7059934,-75.0310939,32.455,-3.53,-34.81,12.30,31.086,61.823,1.55,264.21441,2.40170,3,4
2016-08-06T21:52:14.80Z,39.7059781,-75.0311732,31.968,-3.61,-35.17,11.86,29.751,59.682,1.58,264.14255,2.34536,3,4
2016-08-06T21:52:15.00Z,39.7059558,-75.0312556,33.451,-4.73,-35.80,9.42,27.864,55.723,1.49,262.47422,2.32018,3,5
2016-08-06T21:52:15.20Z,39.7059346,-75.0313373,34.364,-5.03,-36.21,8.05,26.230,52.258,1.43,262.08697,2.47136,3,5
2016-08-06T21:52:15.40Z,39.7059045,-75.0314227,36.988,-5.43,-36.75,7.15,24.259,48.670,1.26,261.60113,2.04613,3,5
2016-08-06T21:52:15.60Z,39.7058824,-75.0315083,37.366,-6.29,-37.18,7.07,22.651,45.798,1.46,260.40261,2.23432,3,5
2016-08-06T21:52:15.80Z,39.7058667,-75.0315990,35.532,-6.54,-37.33,6.27,21.267,43.193,1.29,260.06104,2.43599,3,5
2016-08-06T21:52:16.00Z,39.7058416,-75.0316878,36.349,-7.60,-37.55,5.44,19.681,40.171,1.05,258.55963,2.45702,3,5
2016-08-06T21:52:16.20Z,39.7058201,-75.0317759,36.897,-7.53,-37.80,4.45,18.621,37.370,0.91,258.72980,2.36606,3,5
2016-08-06T21:52:16.40Z,39.7057926,-75.0318633,39.430,-8.74,-37.93,3.37,17.051,34.434,0.84,257.01696,2.18716,3,5
2016-08-06T21:52:16.60Z,39.7057712,-75.0319513,40.842,-8.93,-37.92,2.60,16.238,32.569,0.80,256.74764,2.12284,3,5
2016-08-06T21:52:16.80Z,39.7057527,-75.0320410,40.929,-9.42,-37.59,1.41,15.466,31.091,0.77,255.92757,2.10341,3,5
2016-08-06T21:52:17.00Z,39.7057297,-75.0321310,41.059,-11.37,-37.86,0.55,14.858,29.926,0.77,253.28010,1.93184,3,5
2016-08-06T21:52:17.20Z,39.7057077,-75.0322185,41.475,-10.96,-37.61,-0.69,14.350,28.995,0.77,253.75569,1.84398,3,5
2016-08-06T21:52:17.40Z,39.7056848,-75.0323010,42.454,-11.62,-37.05,-1.67,14.014,28.266,0.85,252.58854,1.96838,3,5
2016-08-06T21:52:17.60Z,39.7056606,-75.0323852,43.350,-12.20,-38.24,-2.15,13.656,27.522,0.84,252.30473,1.92383,3,5
2016-08-06T21:52:17.80Z,39.7056392,-75.0324714,43.700,-11.50,-37.68,-1.40,13.337,26.872,0.88,253.02585,1.94291,3,5
2016-08-06T21:52:18.00Z,39.7056128,-75.0325556,45.083,-12.56,-38.44,-1.45,13.048,26.267,1.13,251.91276,2.28564,3,5
2016-08-06T21:52:18.20Z,39.7055891,-75.0326404,46.543,-11.57,-38.66,-1.75,12.795,25.745,1.11,253.33583,2.39191,3,5
2016-08-06T21:52:18.40Z,39.7055649,-75.0327230,47.997,-10.54,-38.04,-1.53,12.563,25.304,0.98,254.50681,2.34430,3,5
2016-08-06T21:52:18.60Z,39.7055364,-75.0328039,50.237,-10.34,-38.54,-2.04,12.289,24.908,0.86,254.98830,2.09727,3,5
2016-08-06T21:52:18.80Z,39.7055105,-75.0328882,52.061,-10.06,-37.51,-2.73,12.020,24.598,1.18,254.99059,1.99669,3,5
