time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2016-08-06T19:48:43.40Z,39.6928591,-75.0014076,841.544,9.03,58.44,-3.23,152.828,162.043,2.49,81.22000,14.53194,3,4
2016-08-06T19:48:43.60Z,39.6929123,-75.0012479,834.396,8.41,58.69,-3.13,111.645,99.582,1.79,81.84887,4.19927,3,4
2016-08-06T19:48:43.80Z,39.6929086,-75.0011017,829.938,8.50,58.70,-3.18,105.222,95.755,1.27,81.76116,3.29717,3,4
2016-08-06T19:48:44.00Z,39.6929637,-75.0009737,831.411,8.60,58.89,-3.68,74.994,66.599,0.98,81.69256,2.45173,3,5
2016-08-06T19:48:44.20Z,39.6929719,-75.0008376,832.138,8.68,58.94,-3.76,63.744,56.009,0.88,81.62676,2.16033,3,5
2016-08-06T19:48:44.40Z,39.6930140,-75.0007212,835.192,8.85,59.05,-3.63,55.650,48.439,0.83,81.47469,1.95188,3,5
2016-08-06T19:48:44.60Z,39.6930276,-75.0005992,835.726,8.85,58.85,-3.68,49.214,42.570,0.86,81.44379,1.83254,3,5
2016-08-06T19:48:44.80Z,39.6930630,-75.0004901,836.851,8.02,58.96,-3.58,43.002,37.840,0.82,82.24961,1.63631,3,5
2016-08-06T19:48:45.00Z,39.6930810,-75.0003617,837.155,7.69,59.09,-3.27,38.858,34.361,0.79,82.58147,1.51868,3,5
2016-08-06T19:48:45.20Z,39.6930548,-75.0002306,833.479,8.93,59.32,-3.62,23.529,22.216,0.66,81.44292,0.84184,3,7
2016-08-06T19:48:45.40Z,39.6930566,-75.0000891,832.163,9.29,59.13,-3.87,18.098,17.940,0.71,81.07147,0.73269,3,7
2016-08-06T19:48:45.60Z,39.6930629,-74.9999516,831.841,9.12,59.13,-4.05,15.473,15.747,0.69,81.23037,0.72472,3,7
2016-08-06T19:48:45.80Z,39.6930678,-74.9998164,831.758,8.56,58.87,-4.23,13.802,14.300,0.93,81.73013,0.93927,3,7
2016-08-06T19:48:46.00Z,39.6930725,-74.9996833,831.548,7.36,58.37,-4.46,12.658,13.266,0.92,82.81339,1.03058,3,7
2016-08-06T19:48:46.20Z,39.6930807,-74.9995503,831.701,7.44,58.64,-4.42,11.851,12.479,0.82,82.77050,0.99807,3,7
2016-08-06T19:48:46.40Z,39.6930905,-74.9994172,832.367,7.68,58.59,-4.40,11.281,11.891,0.75,82.53020,0.97333,3,7
2016-08-06T19:48:46.60Z,39.6931008,-74.9992813,832.921,7.99,58.83,-4.39,10.674,11.271,0.63,82.26494,0.80743,3,7
2016-08-06T19:48:46.80Z,39.6931112,-74.9991445,833.841,8.01,58.68,-4.43,10.167,10.750,0.62,82.22276,0.79079,3,7
2016-08-06T19:48:47.00Z,39.6931221,-74.9990069,834.850,8.13,58.84,-4.46,9.784,10.338,0.66,82.13199,0.81141,3,7
2016-08-06T19:48:47.20Z,39.6931352,-74.9988695,835.691,8.51,58.73,-4.57,9.439,9.914,0.65,81.75941,0.81539,3,7
2016-08-06T19:48:47.40Z,39.6931494,-74.9987323,836.543,8.51,58.80,-4.76,9.146,9.543,0.74,81.76582,0.88058,3,7
2016-08-06T19:48:47.60Z,39.6931645,-74.9985939,837.512,8.63,58.77,-4.87,8.880,9.210,0.72,81.64519,0.86500,3,7
2016-08-06T19:48:47.80Z,39.6931798,-74.9984564,838.634,8.57,58.67,-4.90,8.665,8.930,0.72,81.69040,0.90947,3,7
2016-08-06T19:48:48.00Z,39.6931953,-74.9983196,839.867,8.64,58.71,-4.73,8.459,8.669,0.73,81.62795,0.88520,3,7
2016-08-06T19:48:48.20Z,39.6932101,-74.9981824,841.013,8.58,58.59,-4.77,8.275,8.437,0.72,81.66830,0.87512,3,7
2016-08-06T19:48:48.40Z,39.6932245,-74.9980456,841.962,8.56,58.63,-4.67,8.104,8.254,0.72,81.69381,0.86978,3,7
2016-08-06T19:48:48.60Z,39.6932375,-74.9979096,842.883,8.34,58.57,-4.63,7.949,8.086,0.72,81.89380,0.90551,3,7
2016-08-06T19:48:48.80Z,39.6932518,-74.9977736,843.977,8.75,58.52,-4.63,7.803,7.929,0.75,81.49715,0.89756,3,7
