time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),,,
2015-08-29T16:11:31.20Z,39.7103391,-75.0422985,1233.964,-3.02,-11.61,6.65,14.987,20.543,1.33,3,9
2015-08-29T16:11:31.60Z,39.7103353,-75.0423600,1231.772,-2.57,-11.75,7.16,28.088,38.077,1.41,3,9
2015-08-29T16:11:31.80Z,39.7103385,-75.0423911,1230.071,-2.49,-12.03,7.13,19.257,19.184,0.77,3,9
2015-08-29T16:11:32.00Z,39.7103431,-75.0424188,1228.057,-2.44,-11.97,6.94,18.930,20.822,0.52,3,9
2015-08-29T16:11:32.20Z,39.7103424,-75.0424478,1226.317,-2.34,-11.75,6.88,16.399,18.968,0.45,3,9
2015-08-29T16:11:32.40Z,39.7103428,-75.0424760,1224.697,-2.17,-11.60,6.78,14.683,17.405,0.41,3,9
2015-08-29T16:11:32.60Z,39.7103391,-75.0425058,1223.087,-2.08,-11.83,6.83,13.230,16.151,0.39,3,9
2015-08-29T16:11:32.80Z,39.7103350,-75.0425362,1221.696,-2.15,-12.06,6.94,12.219,15.267,0.37,3,9
2015-08-29T16:11:33.00Z,39.7103325,-75.0425654,1220.296,-2.16,-12.04,6.97,11.465,14.446,0.37,3,9
2015-08-29T16:11:33.20Z,39.7103290,-75.0425946,1218.752,-2.16,-12.11,7.02,10.748,13.725,0.36,3,9
2015-08-29T16:11:33.40Z,39.7103274,-75.0426243,1216.981,-2.15,-12.09,7.12,10.170,13.162,0.36,3,9
2015-08-29T16:11:33.60Z,39.7103237,-75.0426533,1215.356,-2.07,-12.07,7.07,9.704,12.696,0.36,3,9
2015-08-29T16:11:33.80Z,39.7103185,-75.0426816,1214.084,-2.14,-11.99,6.99,9.344,12.360,0.36,3,9
2015-08-29T16:11:34.00Z,39.7103132,-75.0427098,1212.916,-2.36,-11.98,7.02,8.998,12.033,0.36,3,9
