time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),,,
2016-06-04T20:49:04.80Z,35.0184234,-79.1901142,129.435,-1.47,3.05,1.44,54.147,98.297,1.55,3,6
2016-06-04T20:49:05.01Z,35.0184413,-79.1901705,129.341,-1.41,2.48,0.70,40.409,49.217,1.22,3,5
2016-06-04T20:49:05.20Z,35.0184884,-79.1901733,126.945,-1.42,2.12,0.55,32.589,40.434,0.96,3,6
2016-06-04T20:49:05.40Z,35.0185026,-79.1901640,126.904,-1.32,1.82,0.39,23.850,28.548,0.93,3,6
2016-06-04T20:49:05.60Z,35.0184972,-79.1901263,127.616,-0.76,0.62,1.10,17.157,20.472,0.78,3,9
2016-06-04T20:49:05.80Z,35.0184948,-79.1901324,129.080,-0.62,0.43,1.02,13.258,15.396,0.75,3,9
2016-06-04T20:49:06.00Z,35.0184931,-79.1901348,129.197,-0.59,0.15,1.02,10.852,11.872,0.77,3,9
2016-06-04T20:49:06.20Z,35.0185032,-79.1901418,129.822,-0.69,0.06,0.94,9.104,9.250,0.68,3,9
2016-06-04T20:49:06.40Z,35.0185134,-79.1901575,130.340,-0.78,-0.19,1.00,7.963,7.493,0.68,3,10
2016-06-04T20:49:06.60Z,35.0185197,-79.1901660,130.475,-0.60,-0.33,1.00,7.044,6.312,0.72,3,10
2016-06-04T20:49:06.80Z,35.0185236,-79.1901753,130.418,-0.53,-0.32,1.03,6.380,5.507,0.73,3,10
2016-06-04T20:49:07.00Z,35.0185834,-79.1902544,116.917,-1.18,-0.30,-0.10,33.461,59.440,1.30,3,10
2016-06-04T20:49:07.20Z,35.0185807,-79.1902556,118.713,-0.88,-0.22,0.35,23.126,29.122,0.60,3,10
2016-06-04T20:49:07.40Z,35.0186089,-79.1903000,109.606,-0.74,-0.56,0.87,21.325,28.659,0.60,3,11
2016-06-04T20:49:07.60Z,35.0186125,-79.1903217,106.966,-0.75,-0.65,0.94,16.576,24.251,0.54,3,11
