time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),,,
2015-04-20T15:29:15.60Z,35.0187328,-79.1906756,77.644,1.11,-3.83,1.94,369.804,93.893,15.83,3,4
2015-04-20T15:29:16.00Z,35.0187207,-79.1905805,78.722,0.70,-2.14,1.41,136.522,50.677,5.50,3,4
2015-04-20T15:29:16.20Z,35.0187184,-79.1905634,79.027,0.43,-1.55,0.87,109.335,43.183,4.40,3,4
2015-04-20T15:29:16.40Z,35.0187083,-79.1905076,80.140,0.40,-1.44,0.70,98.790,38.607,3.63,3,4
2015-04-20T15:29:17.60Z,35.0187398,-79.1906306,73.991,0.11,-0.63,0.18,84.465,27.480,3.77,3,4
2015-04-20T15:29:17.80Z,35.0187426,-79.1906399,73.205,0.35,-1.04,0.53,79.843,26.344,3.42,3,4
2015-04-20T15:29:18.00Z,35.0187438,-79.1906443,73.104,0.21,-0.54,0.43,75.333,25.769,2.74,3,4
2015-04-20T15:29:18.20Z,35.0187428,-79.1906396,73.448,0.21,-0.65,0.42,71.773,24.900,2.53,3,4
2015-04-20T15:29:18.60Z,35.0187431,-79.1906385,73.797,0.28,-0.83,0.41,68.373,23.391,2.67,3,4
2015-04-20T15:29:18.80Z,35.0187435,-79.1906398,73.601,0.24,-1.01,0.37,64.987,22.501,2.70,3,4
2015-04-20T15:29:19.00Z,35.0187372,-79.1906094,74.245,0.22,-1.02,0.23,61.509,21.646,2.57,3,4
2015-04-20T15:29:19.20Z,35.0187314,-79.1905825,75.096,0.22,-0.82,0.22,57.638,20.480,2.34,3,4
2015-04-20T15:29:19.40Z,35.0187303,-79.1905777,75.380,0.12,-0.31,0.22,54.518,19.814,1.49,3,4
2015-04-20T15:29:19.60Z,35.0187256,-79.1905561,76.092,0.02,-0.33,0.19,51.894,19.251,1.33,3,4
2015-04-20T15:29:19.80Z,35.0187289,-79.1905763,76.361,0.15,-0.35,0.27,49.667,18.793,1.17,3,4
2015-04-20T15:29:20.00Z,35.0187307,-79.1905845,76.334,0.11,-0.42,0.27,47.931,18.611,1.15,3,4
2015-04-20T15:29:20.20Z,35.0187346,-79.1906028,76.100,0.22,-0.57,0.31,46.435,18.454,1.15,3,4
2015-04-20T15:29:20.40Z,35.0187386,-79.1906230,75.813,0.15,-0.73,0.32,45.128,18.308,1.17,3,4
2015-04-20T15:29:20.60Z,35.0187395,-79.1906256,75.768,0.21,-0.71,0.38,43.820,18.165,1.17,3,4
