time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),,,
2015-12-26T19:20:09.81Z,28.2196717,-82.1525544,30.886,-0.09,-4.53,1.75,89.213,153.788,2.86,3,5
2015-12-26T19:20:10.00Z,28.2197248,-82.1526042,28.438,0.14,-4.83,1.15,49.205,67.018,1.22,3,6
2015-12-26T19:20:10.40Z,28.2197367,-82.1526286,18.729,0.28,-4.93,0.23,19.327,28.250,0.82,3,6
2015-12-26T19:20:10.60Z,28.2197280,-82.1526339,19.468,0.33,-4.92,0.16,17.517,28.384,0.48,3,7
2015-12-26T19:20:10.80Z,28.2197187,-82.1526502,18.936,0.42,-4.90,0.18,14.575,23.881,0.45,3,7
2015-12-26T19:20:11.00Z,28.2197168,-82.1526792,18.198,0.52,-4.83,0.11,12.651,20.537,0.41,3,7
2015-12-26T19:20:11.20Z,28.2197197,-82.1526989,18.471,0.61,-4.81,0.08,11.281,18.084,0.40,3,7
2015-12-26T19:20:11.40Z,28.2197200,-82.1527097,20.062,0.68,-4.81,0.13,10.157,16.693,0.38,3,7
2015-12-26T19:20:11.60Z,28.2197217,-82.1527165,20.677,0.73,-4.88,0.19,9.233,15.502,0.37,3,7
2015-12-26T19:20:11.80Z,28.2197219,-82.1527227,21.834,0.81,-4.99,0.26,8.490,14.077,0.37,3,8
2015-12-26T19:20:12.00Z,28.2197228,-82.1527291,22.993,1.23,-5.26,0.29,8.013,13.042,0.50,3,8
2015-12-26T19:20:12.20Z,28.2197241,-82.1527325,24.418,1.33,-5.46,0.29,7.411,11.961,0.46,3,8
2015-12-26T19:20:12.40Z,28.2197241,-82.1527371,24.912,1.34,-5.35,0.36,6.900,11.027,0.40,3,8
2015-12-26T19:20:12.60Z,28.2197256,-82.1527447,24.910,1.29,-5.20,0.42,6.493,10.250,0.40,3,9
2015-12-26T19:20:12.80Z,28.2197300,-82.1527560,25.220,1.55,-5.32,0.44,6.250,9.908,0.44,3,9
2015-12-26T19:20:13.00Z,28.2197325,-82.1527669,25.072,1.51,-5.24,0.47,6.014,9.570,0.42,3,10
2015-12-26T19:20:13.20Z,28.2197343,-82.1527757,25.021,1.39,-4.97,0.47,5.816,9.289,0.44,3,10
2015-12-26T19:20:13.40Z,28.2197361,-82.1527843,24.868,1.31,-4.80,0.50,5.634,8.998,0.43,3,10
2015-12-26T19:20:13.60Z,28.2197382,-82.1527951,24.909,1.20,-4.70,0.52,5.426,8.630,0.38,3,10
2015-12-26T19:20:13.80Z,28.2197404,-82.1528049,24.718,1.20,-4.80,0.59,5.238,8.333,0.42,3,10
2015-12-26T19:20:14.00Z,28.2197433,-82.1528144,24.791,1.33,-5.03,0.60,5.123,8.093,0.40,3,10
2015-12-26T19:20:14.20Z,28.2197455,-82.1528239,24.653,1.39,-4.90,0.64,5.013,7.854,0.41,3,10
2015-12-26T19:20:14.40Z,28.2197484,-82.1528335,24.680,1.56,-4.85,0.62,4.900,7.624,0.41,3,10
2015-12-26T19:20:14.60Z,28.2197523,-82.1528418,24.762,1.64,-4.50,0.69,4.801,7.412,0.42,3,10
2015-12-26T19:20:14.80Z,28.2197562,-82.1528504,24.834,1.87,-4.62,0.70,4.710,7.211,0.41,3,10
2015-12-26T19:20:15.00Z,28.2197587,-82.1528575,24.723,1.51,-4.21,0.59,4.635,7.073,0.33,3,10
