time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2016-07-20T20:26:29.20Z,41.5840207,-74.1831788,1814.815,-11.13,45.44,-19.67,1344.894,526.998,29.89,0.00000,74.85864,3,4
2016-07-20T20:26:29.40Z,41.5841112,-74.1830896,1828.775,-3.78,42.87,-22.44,627.618,284.013,14.03,95.03736,39.68747,3,4
2016-07-20T20:26:29.60Z,41.5842381,-74.1830275,1841.933,0.10,40.29,-21.74,695.105,294.577,10.14,89.86139,30.67100,3,4
2016-07-20T20:26:29.80Z,41.5843238,-74.1829702,1850.463,1.20,39.48,-22.05,643.837,265.926,8.43,88.25624,24.37881,3,4
2016-07-20T20:26:30.00Z,41.5843935,-74.1829176,1857.343,2.63,38.62,-21.83,602.152,246.062,7.40,86.10918,24.47939,3,4
2016-07-20T20:26:30.20Z,41.5843976,-74.1828320,1861.016,0.64,39.65,-21.39,565.653,230.228,6.90,89.07498,22.52971,3,4
2016-07-20T20:26:30.40Z,41.5843719,-74.1827237,1863.755,-1.47,41.69,-20.90,537.019,217.972,6.98,92.01330,20.47019,3,4
2016-07-20T20:26:30.60Z,41.5843188,-74.1825905,1866.369,-4.86,44.52,-20.58,510.704,206.760,6.96,96.22559,14.63394,3,4
2016-07-20T20:26:30.80Z,41.5842484,-74.1824614,1866.914,-3.78,44.44,-20.40,488.132,197.429,6.50,94.85766,14.67295,3,4
2016-07-20T20:26:31.00Z,41.5841828,-74.1823428,1867.312,-2.93,42.58,-20.68,468.297,188.892,6.12,93.93139,15.20874,3,4
2016-07-20T20:26:31.20Z,41.5841198,-74.1822275,1867.879,-3.15,41.21,-20.35,450.051,181.192,5.96,94.37593,15.45013,3,4
2016-07-20T20:26:31.40Z,41.5840320,-74.1821048,1866.742,-3.18,40.56,-19.30,433.255,174.361,5.72,94.48926,15.47628,3,4
2016-07-20T20:26:31.60Z,41.5839767,-74.1819868,1867.902,-3.64,40.90,-19.00,418.670,168.414,5.66,95.08094,15.07114,3,4
2016-07-20T20:26:31.80Z,41.5839087,-74.1818699,1867.900,-3.60,40.66,-18.78,405.606,163.125,5.56,95.06158,15.00749,3,4
2016-07-20T20:26:32.00Z,41.5838393,-74.1817555,1867.650,-2.31,40.25,-19.17,393.604,158.182,5.24,93.27861,15.37612,3,4
2016-07-20T20:26:32.20Z,41.5837799,-74.1816458,1867.695,-1.88,39.53,-18.80,383.435,153.869,5.30,92.71844,15.64313,3,4
2016-07-20T20:26:32.40Z,41.5837424,-74.1815492,1868.615,-1.49,38.69,-18.51,374.365,149.946,5.33,92.21166,16.02200,3,4
2016-07-20T20:26:32.60Z,41.5837303,-74.1814740,1870.409,-1.74,36.97,-17.84,365.836,146.239,5.43,92.68729,16.70052,3,4
2016-07-20T20:26:32.80Z,41.5837353,-74.1814011,1873.294,-0.96,36.52,-17.76,358.276,142.979,5.37,91.50598,17.10758,3,4
2016-07-20T20:26:33.00Z,41.5837362,-74.1813316,1875.546,0.15,35.82,-17.57,350.736,139.606,5.17,89.75259,17.72018,3,4
2016-07-20T20:26:33.20Z,41.5837549,-74.1812653,1879.040,1.60,35.41,-18.02,344.092,136.759,4.96,87.40655,18.24837,3,4
2016-07-20T20:26:33.40Z,41.5837871,-74.1812043,1883.227,2.91,34.93,-18.42,337.903,134.055,4.77,85.24548,18.75324,3,4
2016-07-20T20:26:33.60Z,41.5838034,-74.1811282,1887.578,2.39,34.90,-18.91,331.347,131.137,4.82,86.07487,15.46762,3,4
2016-07-20T20:26:33.80Z,41.5838191,-74.1810607,1891.011,2.64,34.67,-18.46,326.133,128.913,4.86,85.65122,15.64389,3,4
2016-07-20T20:26:34.00Z,41.5838368,-74.1810084,1893.315,2.69,33.36,-17.14,321.096,126.703,4.85,85.39802,16.35051,3,4
2016-07-20T20:26:34.20Z,41.5838544,-74.1809552,1895.989,2.41,31.99,-16.38,316.189,124.612,4.75,85.69657,17.00963,3,4
2016-07-20T20:26:34.40Z,41.5838705,-74.1808986,1898.666,3.34,31.39,-16.03,311.742,122.655,4.58,83.92188,17.64727,3,4
2016-07-20T20:26:34.60Z,41.5818762,-74.1796756,1823.745,-17.90,46.27,-12.77,160.707,78.046,4.31,111.15509,6.24709,3,5
2016-07-20T20:26:34.80Z,41.5815740,-74.1794246,1814.921,-22.27,48.01,-11.85,126.486,69.147,3.76,114.88190,5.24402,3,5
2016-07-20T20:26:35.00Z,41.5814122,-74.1792494,1811.225,-22.77,49.44,-11.11,109.709,64.868,3.45,114.72410,4.78501,3,5
2016-07-20T20:26:35.20Z,41.5812859,-74.1790936,1809.346,-23.79,49.57,-10.69,99.383,62.171,3.30,115.63930,4.32464,3,5
2016-07-20T20:26:35.40Z,41.5811606,-74.1789377,1807.566,-24.92,50.29,-10.41,91.710,60.136,3.24,116.36318,4.08374,3,5
2016-07-20T20:26:35.60Z,41.5810509,-74.1787907,1805.983,-26.03,51.55,-9.69,86.391,58.609,3.35,116.79571,3.89722,3,5
2016-07-20T20:26:35.80Z,41.5809529,-74.1786463,1805.459,-27.42,52.01,-9.66,82.510,57.379,3.41,117.80016,3.75999,3,5
2016-07-20T20:26:36.00Z,41.5808696,-74.1785175,1805.175,-27.46,51.11,-9.57,79.528,56.301,3.57,118.25057,3.73954,3,5
2016-07-20T20:26:36.20Z,41.5807913,-74.1783855,1805.542,-27.52,51.33,-9.77,76.726,55.258,3.52,118.19987,3.67548,3,5
2016-07-20T20:26:36.40Z,41.5807186,-74.1782579,1805.931,-26.84,51.37,-10.01,74.473,54.345,3.48,117.58450,3.69651,3,5
2016-07-20T20:26:36.60Z,41.5806514,-74.1781260,1807.026,-27.60,51.71,-9.81,72.467,53.501,3.47,118.09129,3.66590,3,5
