time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2016-07-20T18:27:01.20Z,41.6740750,-74.1498784,102.571,-0.06,0.01,0.04,7.938,15.536,0.31,0.00000,151.52670,3,8
2016-07-20T18:27:01.40Z,41.6740723,-74.1498780,102.805,0.01,-0.04,0.05,6.258,7.958,0.46,0.00000,151.52698,3,8
2016-07-20T18:27:01.60Z,41.6740718,-74.1498777,102.973,0.03,-0.02,0.16,5.966,8.835,0.48,0.00000,151.52726,3,8
2016-07-20T18:27:01.80Z,41.6740725,-74.1498779,103.188,0.01,-0.04,0.07,5.141,8.168,0.45,0.00000,151.52754,3,8
2016-07-20T18:27:02.00Z,41.6740750,-74.1498795,102.559,-0.04,-0.01,0.19,4.539,7.300,0.39,0.00000,151.52776,3,8
2016-07-20T18:27:02.20Z,41.6740762,-74.1498804,102.139,0.05,-0.09,0.22,4.100,6.672,0.41,0.00000,151.52802,3,8
2016-07-20T18:27:02.40Z,41.6740769,-74.1498810,101.831,0.03,0.01,0.25,3.769,6.187,0.40,0.00000,151.52824,3,8
2016-07-20T18:27:02.60Z,41.6740770,-74.1498810,101.687,-0.06,0.01,0.13,3.509,5.798,0.32,0.00000,151.52844,3,8
2016-07-20T18:27:02.80Z,41.6740767,-74.1498809,101.556,0.06,-0.06,0.27,3.288,5.474,0.41,0.00000,151.52868,3,8
2016-07-20T18:27:03.00Z,41.6740762,-74.1498807,101.572,0.06,-0.04,0.32,3.116,5.271,0.43,0.00000,151.52894,3,8
2016-07-20T18:27:03.20Z,41.6740756,-74.1498803,101.616,0.03,-0.03,0.17,2.977,5.088,0.43,0.00000,151.52920,3,8
2016-07-20T18:27:03.40Z,41.6740754,-74.1498801,101.691,0.10,-0.13,0.31,2.864,4.926,0.45,0.00000,151.52948,3,8
2016-07-20T18:27:03.60Z,41.6740755,-74.1498803,101.714,0.10,-0.06,0.27,2.764,4.780,0.46,0.00000,151.52974,3,8
2016-07-20T18:27:03.80Z,41.6740755,-74.1498805,101.799,0.07,-0.10,0.34,2.677,4.647,0.46,0.00000,151.53002,3,8
