time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),,,
2015-08-08T14:21:28.80Z,39.6767441,-75.0172247,1338.943,7.87,-64.41,-8.17,57.810,54.263,1.67,3,4
2015-08-08T14:21:29.00Z,39.6767387,-75.0173497,1338.612,8.29,-63.90,-8.25,49.004,43.960,1.57,3,4
2015-08-08T14:21:29.20Z,39.6767191,-75.0174771,1341.129,8.58,-63.86,-8.33,43.028,41.086,0.81,3,4
2015-08-08T14:21:29.40Z,39.6766289,-75.0175187,1350.033,9.05,-63.43,-8.40,24.313,28.940,0.58,3,7
2015-08-08T14:21:29.60Z,39.6766298,-75.0176719,1356.126,9.71,-63.23,-8.55,19.350,25.804,0.52,3,8
2015-08-08T14:21:29.80Z,39.6766536,-75.0178257,1358.550,10.33,-63.03,-8.67,16.228,23.592,0.43,3,7
2015-08-08T14:21:30.00Z,39.6766752,-75.0179721,1360.218,10.95,-62.83,-8.76,13.655,21.567,0.29,3,8
2015-08-08T14:21:30.20Z,39.6767080,-75.0181314,1360.766,11.62,-62.68,-8.80,11.995,19.834,0.33,3,7
2015-08-08T14:21:30.40Z,39.6767369,-75.0182818,1360.641,12.18,-62.53,-8.81,10.643,18.432,0.33,3,7
2015-08-08T14:21:30.60Z,39.6767658,-75.0184300,1360.663,12.86,-62.29,-8.81,9.531,17.202,0.32,3,8
2015-08-08T14:21:30.80Z,39.6767992,-75.0185855,1361.492,13.41,-62.10,-8.79,8.469,15.947,0.29,3,8
2015-08-08T14:21:31.00Z,39.6768289,-75.0187332,1363.128,14.11,-61.84,-8.79,7.685,15.043,0.30,3,9
2015-08-08T14:21:31.20Z,39.6768619,-75.0188817,1364.230,14.77,-61.65,-8.68,7.052,14.290,0.30,3,9
2015-08-08T14:21:31.40Z,39.6768916,-75.0190270,1365.683,15.39,-61.39,-8.71,6.665,13.699,0.33,3,9
