time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),,,
2015-10-24T17:05:19.20Z,39.7062989,-75.0326562,56.917,-0.03,0.00,0.00,12.209,18.879,0.23,3,6
2015-10-24T17:05:19.40Z,39.7062987,-75.0326602,56.496,0.03,-0.03,0.05,8.432,9.066,0.33,3,6
2015-10-24T17:05:19.80Z,39.7062987,-75.0326602,56.496,0.01,0.00,0.00,8.432,9.066,0.24,3,6
2015-10-24T17:05:20.00Z,39.7063012,-75.0326636,55.851,0.00,-0.01,-0.01,6.418,8.589,0.25,3,6
2015-10-24T17:05:20.20Z,39.7063009,-75.0326638,55.704,-0.03,0.00,0.00,5.897,8.077,0.23,3,6
2015-10-24T17:05:20.40Z,39.7063007,-75.0326644,55.630,0.01,-0.02,0.01,5.493,7.649,0.28,3,6
2015-10-24T17:05:20.60Z,39.7063005,-75.0326653,55.556,0.01,-0.01,0.03,5.165,7.282,0.31,3,6
2015-10-24T17:05:20.80Z,39.7063006,-75.0326660,55.530,0.01,-0.01,0.01,4.891,6.963,0.30,3,6
2015-10-24T17:05:21.00Z,39.7063008,-75.0326665,55.455,0.01,-0.01,0.02,4.659,6.683,0.31,3,6
2015-10-24T17:05:21.20Z,39.7063009,-75.0326656,55.529,-0.01,0.01,-0.03,4.444,6.421,0.31,3,6
2015-10-24T17:05:21.40Z,39.7063011,-75.0326647,55.588,0.01,-0.01,0.04,4.258,6.188,0.31,3,6
2015-10-24T17:05:21.60Z,39.7063013,-75.0326640,55.648,0.02,-0.01,0.04,4.095,5.979,0.31,3,6
2015-10-24T17:05:21.80Z,39.7063015,-75.0326633,55.662,0.01,-0.04,0.05,3.950,5.790,0.30,3,6
2015-10-24T17:05:22.00Z,39.7063018,-75.0326629,55.634,0.02,-0.04,0.07,3.819,5.617,0.31,3,6
2015-10-24T17:05:22.20Z,39.7063022,-75.0326627,55.584,0.02,-0.02,0.08,3.700,5.460,0.31,3,6
2015-10-24T17:05:22.40Z,39.7063027,-75.0326625,55.530,0.01,-0.03,0.07,3.592,5.315,0.30,3,6
2015-10-24T17:05:22.60Z,39.7063033,-75.0326625,55.470,0.04,-0.05,0.12,3.494,5.181,0.30,3,6
