time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),,,
2015-10-07T16:29:08.40Z,35.0190984,-79.1915806,108.276,-9.01,-6.32,0.69,81.485,42.458,7.14,3,5
2015-10-07T16:29:08.60Z,35.0190866,-79.1915999,103.056,-8.42,-5.73,0.22,45.070,26.642,2.95,3,5
2015-10-07T16:29:08.80Z,35.0190129,-79.1916618,100.774,-8.76,-5.78,0.21,43.790,24.795,1.80,3,5
2015-10-07T16:29:09.00Z,35.0188359,-79.1917900,92.187,-8.40,-5.67,-0.04,32.743,19.551,1.16,3,6
2015-10-07T16:29:09.20Z,35.0188271,-79.1918036,88.813,-8.78,-5.73,0.02,26.487,16.951,1.00,3,7
2015-10-07T16:29:09.40Z,35.0187987,-79.1918257,86.842,-9.01,-5.85,0.03,19.772,14.803,0.73,3,8
2015-10-07T16:29:09.60Z,35.0187890,-79.1918335,86.180,-9.18,-5.88,0.02,16.623,13.080,0.42,3,8
2015-10-07T16:29:09.80Z,35.0187708,-79.1918476,86.963,-9.00,-5.81,0.22,14.302,11.693,0.45,3,8
2015-10-07T16:29:10.00Z,35.0187466,-79.1918695,88.934,-9.05,-5.99,0.14,11.783,9.781,0.40,3,9
2015-10-07T16:29:10.20Z,35.0187353,-79.1918917,87.153,-9.44,-5.99,0.41,10.284,8.997,0.43,3,9
2015-10-07T16:29:10.40Z,35.0187192,-79.1919107,85.825,-9.05,-5.90,0.70,8.855,8.176,0.38,3,9
2015-10-07T16:29:10.60Z,35.0187049,-79.1919212,85.548,-9.13,-5.83,0.84,7.884,7.525,0.29,3,8
2015-10-07T16:29:10.80Z,35.0186929,-79.1919302,84.913,-9.17,-5.86,1.03,7.205,7.062,0.29,3,9
2015-10-07T16:29:11.00Z,35.0186747,-79.1919414,84.452,-9.26,-5.96,1.14,6.572,6.741,0.27,3,9
2015-10-07T16:29:11.20Z,35.0186566,-79.1919538,84.231,-9.18,-5.90,1.24,6.304,6.522,0.32,3,9
2015-10-07T16:29:11.40Z,35.0186386,-79.1919688,84.513,-9.25,-6.01,1.10,6.114,6.298,0.35,3,9
2015-10-07T16:29:11.60Z,35.0186174,-79.1919862,85.099,-9.56,-6.04,0.90,5.891,5.963,0.33,3,9
2015-10-07T16:29:11.80Z,35.0185935,-79.1920035,85.513,-9.78,-6.24,0.71,5.501,5.614,0.30,3,9
2015-10-07T16:29:12.00Z,35.0185726,-79.1920214,86.156,-9.97,-6.50,0.37,5.172,5.314,0.24,3,9
2015-10-07T16:29:12.20Z,35.0185547,-79.1920363,86.269,-10.05,-6.47,0.21,4.905,5.075,0.24,3,9
2015-10-07T16:29:12.40Z,35.0185390,-79.1920531,86.742,-10.14,-6.48,0.18,4.632,4.842,0.24,3,9
2015-10-07T16:29:12.60Z,35.0185197,-79.1920681,86.873,-10.27,-6.62,0.01,4.429,4.688,0.37,3,10
2015-10-07T16:29:12.80Z,35.0184973,-79.1920809,87.218,-10.17,-6.59,0.03,4.273,4.586,0.45,3,10
2015-10-07T16:29:13.00Z,35.0184729,-79.1920932,87.705,-10.33,-6.55,0.05,4.141,4.501,0.41,3,10
2015-10-07T16:29:13.20Z,35.0184514,-79.1921076,87.851,-10.33,-6.59,0.06,4.033,4.421,0.32,3,10
2015-10-07T16:29:13.40Z,35.0184294,-79.1921219,88.094,-10.28,-6.70,0.06,3.962,4.363,0.33,3,10
2015-10-07T16:29:13.60Z,35.0184078,-79.1921367,88.319,-10.34,-6.72,0.02,3.892,4.311,0.34,3,10
2015-10-07T16:29:13.80Z,35.0183868,-79.1921509,88.590,-10.32,-6.71,0.08,3.823,4.261,0.30,3,10
2015-10-07T16:29:14.00Z,35.0183659,-79.1921653,88.885,-10.48,-6.83,-0.01,3.751,4.215,0.31,3,10
2015-10-07T16:29:14.20Z,35.0183443,-79.1921796,89.130,-10.33,-6.82,0.13,3.683,4.170,0.30,3,10
2015-10-07T16:29:14.40Z,35.0183226,-79.1921944,89.409,-10.50,-6.90,0.02,3.619,4.129,0.28,3,10
2015-10-07T16:29:14.60Z,35.0183040,-79.1922112,89.403,-10.62,-6.93,0.08,3.538,4.056,0.28,3,10
2015-10-07T16:29:14.80Z,35.0182862,-79.1922279,89.599,-10.56,-6.96,0.05,3.464,3.894,0.30,3,10
2015-10-07T16:29:15.00Z,35.0182693,-79.1922437,89.495,-10.58,-7.05,0.17,3.389,3.744,0.27,3,10
2015-10-07T16:29:15.20Z,35.0182500,-79.1922591,89.301,-10.53,-7.08,0.15,3.312,3.686,0.25,3,10
2015-10-07T16:29:15.40Z,35.0182300,-79.1922752,89.194,-10.54,-7.17,0.10,3.230,3.639,0.25,3,10
2015-10-07T16:29:15.60Z,35.0182105,-79.1922895,89.078,-10.84,-6.82,-0.06,3.171,3.554,0.26,3,10
2015-10-07T16:29:15.80Z,35.0181924,-79.1923053,88.794,-10.54,-7.26,0.01,3.109,3.477,0.26,3,10
2015-10-07T16:29:16.00Z,35.0181730,-79.1923201,88.539,-10.87,-7.17,0.06,3.061,3.413,0.26,3,10
2015-10-07T16:29:16.20Z,35.0181527,-79.1923357,88.499,-10.91,-7.20,0.05,3.019,3.361,0.27,3,10
2015-10-07T16:29:16.40Z,35.0181330,-79.1923510,88.475,-10.83,-7.32,0.08,2.979,3.315,0.27,3,10
2015-10-07T16:29:16.60Z,35.0181121,-79.1923655,88.420,-11.04,-7.30,0.11,2.941,3.282,0.28,3,10
2015-10-07T16:29:16.80Z,35.0180907,-79.1923794,88.488,-10.89,-7.21,0.10,2.910,3.268,0.30,3,10
2015-10-07T16:29:17.00Z,35.0180693,-79.1923942,88.566,-11.04,-7.35,0.04,2.884,3.257,0.32,3,10
2015-10-07T16:29:17.20Z,35.0180484,-79.1924093,88.561,-11.12,-7.34,0.06,2.857,3.245,0.33,3,10
2015-10-07T16:29:17.40Z,35.0180276,-79.1924253,88.584,-11.16,-7.36,0.07,2.825,3.222,0.31,3,9
2015-10-07T16:29:17.60Z,35.0180077,-79.1924424,88.386,-11.47,-7.42,0.19,2.801,3.203,0.32,3,9
2015-10-07T16:29:17.80Z,35.0179883,-79.1924584,88.264,-11.00,-7.30,0.23,2.776,3.184,0.36,3,9
2015-10-07T16:29:18.00Z,35.0179688,-79.1924751,88.200,-11.19,-7.35,0.28,2.748,3.169,0.36,3,10
2015-10-07T16:29:18.20Z,35.0179485,-79.1924916,88.132,-11.22,-7.40,0.22,2.710,3.145,0.32,3,10
2015-10-07T16:29:18.40Z,35.0179283,-79.1925073,88.297,-11.29,-7.41,0.14,2.671,3.114,0.32,3,10
2015-10-07T16:29:18.60Z,35.0179076,-79.1925241,88.336,-11.52,-7.43,0.04,2.644,3.101,0.33,3,10
2015-10-07T16:29:18.80Z,35.0178878,-79.1925415,88.238,-11.41,-7.49,0.09,2.623,3.092,0.35,3,10
2015-10-07T16:29:19.00Z,35.0178672,-79.1925579,88.234,-11.26,-7.35,0.13,2.599,3.085,0.34,3,10
2015-10-07T16:29:19.20Z,35.0178471,-79.1925755,88.060,-11.00,-7.68,0.33,2.545,3.034,0.29,3,10
2015-10-07T16:29:19.40Z,35.0178275,-79.1925921,87.983,-11.21,-7.35,0.31,2.497,3.012,0.26,3,10
2015-10-07T16:29:19.60Z,35.0178070,-79.1926087,88.021,-11.35,-7.56,0.18,2.451,2.999,0.28,3,10
2015-10-07T16:29:19.80Z,35.0177867,-79.1926254,87.982,-11.27,-7.41,0.15,2.409,2.987,0.28,3,10
2015-10-07T16:29:20.00Z,35.0177670,-79.1926416,88.028,-11.28,-7.54,0.14,2.353,2.969,0.24,3,10
