time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),,,
2015-10-07T12:37:17.19Z,35.0183991,-79.1908550,62.390,2.11,-1.83,3.71,192.554,237.770,4.98,3,5
2015-10-07T12:37:17.40Z,35.0184460,-79.1907891,72.537,0.53,-0.65,1.29,50.189,59.883,3.29,3,5
2015-10-07T12:37:17.80Z,35.0184410,-79.1907608,80.018,-0.15,-0.08,0.50,24.179,26.764,0.94,3,8
2015-10-07T12:37:18.00Z,35.0184307,-79.1907632,81.204,-0.32,0.05,0.46,18.837,21.697,0.94,3,8
2015-10-07T12:37:18.20Z,35.0184192,-79.1907608,81.918,-0.15,0.06,0.15,15.376,18.137,0.58,3,8
2015-10-07T12:37:18.40Z,35.0183944,-79.1907530,81.464,-0.08,-0.33,0.40,12.917,15.996,0.45,3,8
2015-10-07T12:37:18.60Z,35.0183885,-79.1907529,81.167,0.13,-0.23,0.24,11.926,14.831,0.55,3,8
2015-10-07T12:37:18.80Z,35.0183839,-79.1907547,81.340,-0.11,0.19,0.14,11.096,13.982,0.41,3,8
2015-10-07T12:37:19.00Z,35.0183628,-79.1907521,80.272,-0.02,-0.02,0.19,9.083,12.591,0.42,3,9
2015-10-07T12:37:19.20Z,35.0183491,-79.1907461,80.852,0.01,0.15,-0.05,7.745,10.847,0.26,3,10
2015-10-07T12:37:19.40Z,35.0183495,-79.1907439,81.615,0.12,0.11,-0.20,6.883,9.622,0.33,3,10
2015-10-07T12:37:19.60Z,35.0183442,-79.1907391,82.584,0.05,0.05,-0.07,6.222,8.891,0.33,3,10
2015-10-07T12:37:19.80Z,35.0183455,-79.1907363,84.117,0.06,0.28,-0.28,5.543,7.649,0.27,3,10
2015-10-07T12:37:20.00Z,35.0183394,-79.1907334,84.275,-0.01,0.30,-0.23,5.222,7.275,0.28,3,10
2015-10-07T12:37:20.20Z,35.0183370,-79.1907305,84.672,0.16,-0.17,-0.24,4.910,6.878,0.36,3,10
2015-10-07T12:37:20.40Z,35.0183367,-79.1907302,84.785,0.09,0.02,-0.19,4.656,6.526,0.38,3,10
2015-10-07T12:37:20.60Z,35.0183382,-79.1907298,84.519,0.07,0.15,-0.16,4.413,6.128,0.28,3,10
2015-10-07T12:37:20.80Z,35.0183384,-79.1907298,84.316,0.05,-0.07,-0.14,4.268,5.790,0.35,3,10
2015-10-07T12:37:21.00Z,35.0183370,-79.1907295,83.972,0.04,0.01,-0.10,4.147,5.550,0.32,3,10
2015-10-07T12:37:21.20Z,35.0183365,-79.1907297,83.873,0.07,0.01,-0.15,4.056,5.298,0.34,3,10
2015-10-07T12:37:21.40Z,35.0183372,-79.1907279,84.264,-0.03,0.06,-0.11,3.921,5.090,0.29,3,10
2015-10-07T12:37:21.60Z,35.0183366,-79.1907282,84.248,0.01,-0.03,-0.08,3.830,4.957,0.32,3,10
2015-10-07T12:37:21.80Z,35.0183355,-79.1907269,84.125,-0.06,0.06,0.00,3.726,4.824,0.32,3,10
2015-10-07T12:37:22.00Z,35.0183342,-79.1907264,84.030,-0.11,0.00,-0.07,3.684,4.751,0.35,3,10
2015-10-07T12:37:22.20Z,35.0183350,-79.1907267,84.045,0.24,-0.03,0.01,3.628,4.562,0.36,3,10
2015-10-07T12:37:22.40Z,35.0183354,-79.1907276,84.115,-0.05,-0.10,0.12,3.557,4.366,0.27,3,10
2015-10-07T12:37:22.60Z,35.0183354,-79.1907276,84.182,-0.09,0.11,0.10,3.509,4.268,0.33,3,10
2015-10-07T12:37:22.80Z,35.0183366,-79.1907279,84.612,-0.09,0.00,0.16,3.438,4.153,0.31,3,10
2015-10-07T12:37:23.00Z,35.0183357,-79.1907270,84.550,-0.03,0.06,0.19,3.372,4.049,0.31,3,10
2015-10-07T12:37:23.20Z,35.0183356,-79.1907263,84.823,-0.15,0.09,0.20,3.333,3.923,0.35,3,10
2015-10-07T12:37:23.40Z,35.0183369,-79.1907247,84.866,0.01,0.03,0.19,3.286,3.826,0.32,3,10
2015-10-07T12:37:23.60Z,35.0183376,-79.1907245,84.877,0.08,-0.01,0.11,3.252,3.738,0.38,3,10
2015-10-07T12:37:23.80Z,35.0183383,-79.1907243,85.164,0.07,-0.04,0.03,3.218,3.566,0.46,3,10
2015-10-07T12:37:24.00Z,35.0183394,-79.1907248,84.776,0.11,-0.13,0.08,3.164,3.434,0.37,3,10
2015-10-07T12:37:24.20Z,35.0183389,-79.1907252,84.536,0.07,-0.11,-0.02,3.127,3.328,0.32,3,10
2015-10-07T12:37:24.40Z,35.0183395,-79.1907248,84.824,0.07,0.04,-0.10,3.103,3.240,0.29,3,10
2015-10-07T12:37:24.60Z,35.0183395,-79.1907248,84.720,0.00,0.02,-0.08,3.079,3.168,0.30,3,10
2015-10-07T12:37:24.80Z,35.0183397,-79.1907251,84.645,-0.03,-0.02,-0.08,3.055,3.106,0.32,3,10
2015-10-07T12:37:25.00Z,35.0183404,-79.1907249,84.707,0.10,0.02,-0.06,3.017,3.047,0.32,3,10
2015-10-07T12:37:25.20Z,35.0183415,-79.1907254,84.883,0.07,0.01,-0.09,2.970,2.991,0.30,3,10
2015-10-07T12:37:25.40Z,35.0183423,-79.1907258,85.048,0.02,0.00,-0.05,2.909,2.934,0.31,3,10
2015-10-07T12:37:25.60Z,35.0183420,-79.1907255,85.013,-0.04,0.03,-0.05,2.850,2.893,0.33,3,10
2015-10-07T12:37:25.80Z,35.0183419,-79.1907258,84.945,0.01,-0.05,-0.07,2.822,2.864,0.31,3,10
2015-10-07T12:37:26.00Z,35.0183417,-79.1907258,84.941,0.00,0.00,0.00,2.798,2.841,0.38,3,10
2015-10-07T12:37:26.20Z,35.0183416,-79.1907258,84.898,-0.14,0.05,0.06,2.792,2.836,0.49,3,10
2015-10-07T12:37:26.40Z,35.0183416,-79.1907272,85.294,-0.09,0.00,0.12,2.775,2.800,0.37,3,10
2015-10-07T12:37:26.60Z,35.0183420,-79.1907273,85.283,0.14,-0.04,0.17,2.754,2.763,0.33,3,10
2015-10-07T12:37:26.80Z,35.0183412,-79.1907272,85.243,0.06,-0.09,0.23,2.739,2.750,0.32,3,10
2015-10-07T12:37:27.00Z,35.0183409,-79.1907273,85.190,-0.02,-0.08,0.33,2.733,2.750,0.34,3,10
2015-10-07T12:37:27.20Z,35.0183399,-79.1907269,85.260,-0.36,0.07,0.13,2.720,2.746,0.38,3,10
2015-10-07T12:37:27.40Z,35.0183393,-79.1907253,85.178,-0.22,0.66,0.35,2.715,2.750,0.40,3,10
2015-10-07T12:37:27.60Z,35.0183410,-79.1907240,84.960,0.87,0.53,0.75,2.703,2.753,0.43,3,10
2015-10-07T12:37:27.80Z,35.0183409,-79.1907233,84.806,0.17,0.30,0.84,2.704,2.762,0.45,3,10
2015-10-07T12:37:28.00Z,35.0183423,-79.1907242,84.749,0.71,-0.32,0.79,2.698,2.774,0.46,3,10
2015-10-07T12:37:28.20Z,35.0183428,-79.1907231,84.692,0.62,0.21,0.71,2.694,2.783,0.58,3,10
2015-10-07T12:37:28.40Z,35.0183427,-79.1907229,84.880,0.19,0.15,0.36,2.688,2.784,0.45,3,10
2015-10-07T12:37:28.60Z,35.0183421,-79.1907221,84.841,-0.18,0.27,0.35,2.702,2.802,0.69,3,10
