time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),,,
2015-10-07T13:44:53.00Z,35.0117848,-79.2274718,1132.456,-53.72,-5.17,-6.45,86.087,81.068,2.86,3,4
2015-10-07T13:44:53.20Z,35.0116529,-79.2274528,1138.786,-53.76,-4.88,-6.45,71.562,66.375,2.15,3,4
2015-10-07T13:44:53.40Z,35.0115591,-79.2274694,1140.451,-53.82,-4.60,-6.28,61.653,59.701,1.33,3,4
2015-10-07T13:44:53.60Z,35.0114738,-79.2274993,1139.938,-53.79,-4.34,-6.14,50.215,49.721,1.08,3,4
2015-10-07T13:44:53.80Z,35.0113608,-79.2275839,1145.055,-53.70,-3.87,-5.91,29.077,36.379,0.64,3,6
2015-10-07T13:44:54.00Z,35.0112687,-79.2275898,1146.172,-53.82,-3.60,-5.91,26.845,33.989,0.60,3,5
2015-10-07T13:44:54.20Z,35.0111529,-79.2276543,1150.418,-53.69,-3.10,-5.97,22.561,31.128,0.55,3,6
2015-10-07T13:44:54.40Z,35.0110429,-79.2276935,1153.197,-53.80,-2.81,-5.92,19.582,28.889,0.52,3,6
2015-10-07T13:44:54.60Z,35.0109499,-79.2276993,1152.479,-53.79,-2.72,-5.95,16.811,26.440,0.44,3,7
2015-10-07T13:44:54.80Z,35.0108647,-79.2277003,1150.890,-53.85,-2.28,-5.91,14.750,24.255,0.42,3,7
2015-10-07T13:44:55.00Z,35.0107777,-79.2276988,1149.441,-53.93,-1.92,-5.86,13.294,22.028,0.43,3,8
2015-10-07T13:44:55.20Z,35.0106918,-79.2276951,1147.787,-53.94,-1.80,-5.92,12.223,20.131,0.42,3,9
2015-10-07T13:44:55.40Z,35.0106018,-79.2276933,1146.516,-53.87,-1.58,-5.93,11.433,18.538,0.40,3,9
2015-10-07T13:44:55.60Z,35.0105061,-79.2276975,1148.017,-53.91,-1.27,-5.97,10.805,17.279,0.39,3,9
2015-10-07T13:44:55.80Z,35.0104083,-79.2276972,1149.863,-53.94,-1.03,-5.95,10.322,16.155,0.34,3,9
2015-10-07T13:44:56.00Z,35.0103111,-79.2276985,1150.802,-53.74,-0.34,-6.11,9.998,15.693,0.42,3,10
2015-10-07T13:44:56.20Z,35.0102119,-79.2277050,1152.539,-54.02,-0.37,-6.15,9.426,14.726,0.40,3,11
2015-10-07T13:44:56.40Z,35.0101092,-79.2277135,1155.127,-54.03,0.10,-6.15,8.840,13.463,0.39,3,11
2015-10-07T13:44:56.60Z,35.0100080,-79.2277192,1156.443,-53.99,0.32,-6.09,8.356,12.290,0.36,3,10
2015-10-07T13:44:56.80Z,35.0099154,-79.2277271,1155.388,-54.04,0.65,-6.13,7.858,11.258,0.31,3,11
2015-10-07T13:44:57.00Z,35.0098160,-79.2277204,1156.061,-54.14,1.09,-6.03,7.280,10.732,0.31,3,11
2015-10-07T13:44:57.20Z,35.0097114,-79.2277031,1158.047,-53.90,1.41,-6.08,6.514,10.412,0.40,3,11
2015-10-07T13:44:57.40Z,35.0096086,-79.2276889,1159.772,-53.93,1.69,-6.10,5.915,10.152,0.41,3,11
2015-10-07T13:44:57.60Z,35.0095057,-79.2276741,1161.631,-53.98,2.00,-6.07,5.460,9.922,0.41,3,11
2015-10-07T13:44:57.80Z,35.0094107,-79.2276726,1162.533,-53.70,2.31,-6.06,5.053,9.710,0.37,3,11
2015-10-07T13:44:58.00Z,35.0093126,-79.2276665,1163.483,-54.14,2.54,-6.02,4.758,9.518,0.43,3,11
2015-10-07T13:44:58.20Z,35.0092135,-79.2276570,1164.795,-53.94,2.88,-5.98,4.517,9.288,0.40,3,11
2015-10-07T13:44:58.40Z,35.0091175,-79.2276521,1165.724,-53.88,3.22,-5.93,4.334,8.994,0.38,3,11
2015-10-07T13:44:58.60Z,35.0090190,-79.2276438,1166.130,-53.71,3.48,-5.88,4.254,8.697,0.42,3,11
2015-10-07T13:44:58.80Z,35.0089219,-79.2276352,1166.797,-53.58,3.67,-6.02,4.174,8.395,0.45,3,11
2015-10-07T13:44:59.00Z,35.0088246,-79.2276251,1168.419,-53.50,3.81,-6.07,4.108,8.143,0.58,3,11
2015-10-07T13:44:59.20Z,35.0087275,-79.2276132,1170.037,-53.65,4.53,-6.15,4.063,7.957,0.61,3,11
2015-10-07T13:44:59.40Z,35.0086310,-79.2276019,1171.721,-53.51,4.66,-6.32,4.037,7.832,0.60,3,11
2015-10-07T13:44:59.60Z,35.0085333,-79.2275890,1173.607,-53.44,5.05,-6.36,3.995,7.676,0.46,3,11
2015-10-07T13:44:59.80Z,35.0084362,-79.2275764,1175.149,-53.51,5.52,-6.49,3.948,7.519,0.41,3,11
2015-10-07T13:45:00.00Z,35.0083382,-79.2275632,1176.456,-53.45,5.82,-6.55,3.895,7.404,0.34,3,11
2015-10-07T13:45:00.20Z,35.0082415,-79.2275495,1177.702,-53.38,6.18,-6.62,3.857,7.305,0.33,3,11
2015-10-07T13:45:00.40Z,35.0081451,-79.2275351,1179.174,-53.32,6.53,-6.67,3.829,7.206,0.34,3,11
2015-10-07T13:45:00.60Z,35.0080487,-79.2275199,1180.663,-53.26,6.69,-6.74,3.804,7.133,0.37,3,11
2015-10-07T13:45:00.80Z,35.0079527,-79.2275044,1182.164,-53.23,7.00,-6.75,3.788,7.059,0.47,3,11
2015-10-07T13:45:01.00Z,35.0078567,-79.2274879,1183.621,-53.15,7.37,-6.70,3.771,6.986,0.44,3,11
2015-10-07T13:45:01.20Z,35.0077612,-79.2274707,1185.248,-53.01,7.62,-6.69,3.751,6.918,0.43,3,11
2015-10-07T13:45:01.40Z,35.0076657,-79.2274530,1186.835,-52.88,7.90,-6.68,3.720,6.850,0.36,3,11
2015-10-07T13:45:01.60Z,35.0075704,-79.2274349,1188.481,-52.88,8.14,-6.77,3.688,6.780,0.36,3,11
2015-10-07T13:45:01.80Z,35.0074757,-79.2274164,1189.920,-52.81,8.50,-6.76,3.606,6.670,0.33,3,11
2015-10-07T13:45:02.00Z,35.0073809,-79.2273977,1191.589,-52.67,8.79,-6.79,3.547,6.561,0.31,3,11
2015-10-07T13:45:02.20Z,35.0072866,-79.2273781,1193.218,-52.49,9.17,-6.89,3.495,6.467,0.28,3,11
2015-10-07T13:45:02.40Z,35.0071911,-79.2273560,1194.821,-52.41,9.52,-6.91,3.441,6.363,0.28,3,11
2015-10-07T13:45:02.60Z,35.0070968,-79.2273336,1196.471,-52.27,9.79,-7.01,3.396,6.272,0.29,3,11
2015-10-07T13:45:02.80Z,35.0070030,-79.2273106,1198.264,-52.04,10.14,-7.10,3.351,6.173,0.29,3,11
2015-10-07T13:45:03.00Z,35.0069081,-79.2272864,1199.889,-52.06,10.57,-7.17,3.303,6.071,0.29,3,11
2015-10-07T13:45:03.20Z,35.0068145,-79.2272624,1201.157,-51.83,10.92,-7.29,3.241,5.970,0.29,3,11
2015-10-07T13:45:03.40Z,35.0067210,-79.2272373,1202.439,-51.73,11.20,-7.37,3.185,5.877,0.29,3,11
2015-10-07T13:45:03.60Z,35.0066276,-79.2272112,1203.862,-51.63,11.55,-7.44,3.151,5.800,0.34,3,11
2015-10-07T13:45:03.80Z,35.0065349,-79.2271849,1205.246,-51.45,11.83,-7.47,3.108,5.714,0.32,3,11
2015-10-07T13:45:04.00Z,35.0064423,-79.2271577,1206.573,-51.33,12.09,-7.48,3.068,5.633,0.32,3,11
2015-10-07T13:45:04.20Z,35.0063510,-79.2271300,1207.921,-51.13,12.37,-7.49,3.018,5.553,0.31,3,11
2015-10-07T13:45:04.40Z,35.0062600,-79.2271014,1209.300,-50.92,12.72,-7.50,2.968,5.473,0.30,3,11
2015-10-07T13:45:04.60Z,35.0061684,-79.2270715,1210.981,-50.87,13.06,-7.51,2.924,5.405,0.31,3,11
2015-10-07T13:45:04.80Z,35.0060775,-79.2270412,1212.486,-50.56,13.33,-7.50,2.893,5.350,0.36,3,11
2015-10-07T13:45:05.00Z,35.0059873,-79.2270101,1213.803,-50.36,13.66,-7.49,2.862,5.295,0.37,3,11
2015-10-07T13:45:05.20Z,35.0058963,-79.2269781,1215.395,-50.24,13.99,-7.52,2.825,5.240,0.36,3,11
2015-10-07T13:45:05.40Z,35.0058060,-79.2269462,1216.902,-50.04,14.29,-7.52,2.796,5.192,0.36,3,11
2015-10-07T13:45:05.60Z,35.0057156,-79.2269131,1218.577,-49.90,14.68,-7.53,2.778,5.147,0.37,3,11
