time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2016-08-07T16:29:19.40Z,39.7067512,-75.0335059,44.882,0.05,-0.04,-0.11,11.946,27.908,0.86,0.00000,180.00000,3,4
2016-08-07T16:29:19.60Z,39.7067552,-75.0335046,44.995,0.00,0.03,-0.05,12.260,13.710,0.55,0.00000,180.00000,3,4
2016-08-07T16:29:19.80Z,39.7067526,-75.0335052,44.647,-0.09,-0.24,-0.36,11.742,15.095,0.45,0.00000,143.57104,3,4
2016-08-07T16:29:20.00Z,39.7067603,-75.0335098,44.913,-0.64,-0.92,0.20,6.148,13.549,0.15,236.44248,13.72124,3,4
2016-08-07T16:29:20.20Z,39.7067605,-75.0335122,44.858,-0.10,0.05,0.76,5.092,13.484,0.75,236.44248,13.72628,3,4
2016-08-07T16:29:20.40Z,39.7067601,-75.0335128,44.743,-0.01,0.20,0.50,4.569,13.453,0.63,236.44248,13.73043,3,4
2016-08-07T16:29:20.60Z,39.7067631,-75.0335144,44.732,0.20,0.10,0.42,4.226,13.375,0.66,236.44248,13.73479,3,4
2016-08-07T16:29:20.80Z,39.7067697,-75.0335183,44.113,0.15,-0.03,0.59,3.937,13.044,0.75,236.44248,13.73967,3,4
2016-08-07T16:29:21.00Z,39.7067751,-75.0335219,43.245,0.28,0.09,0.64,3.698,12.724,0.75,236.44248,13.74461,3,4
2016-08-07T16:29:21.20Z,39.7067733,-75.0335228,42.409,0.36,0.37,0.66,3.516,12.430,0.70,254.65196,39.57913,3,4
2016-08-07T16:29:21.40Z,39.7067739,-75.0335239,41.821,0.09,0.43,0.72,3.366,12.153,0.75,161.31727,37.29920,3,4
2016-08-07T16:29:21.60Z,39.7067770,-75.0335254,41.909,0.15,0.07,0.72,3.243,12.025,0.92,161.31727,37.30143,3,4
2016-08-07T16:29:21.80Z,39.7067794,-75.0335273,41.482,0.14,-0.27,0.65,3.125,11.791,0.91,219.55847,42.87713,3,4
2016-08-07T16:29:22.00Z,39.7067784,-75.0335297,41.112,0.03,-0.12,0.67,3.004,11.454,0.89,219.55847,42.87900,3,4
2016-08-07T16:29:22.20Z,39.7067793,-75.0335311,40.774,0.06,-0.07,0.58,2.905,11.240,0.94,219.55847,42.88097,3,4
2016-08-07T16:29:22.40Z,39.7067823,-75.0335328,40.250,0.16,-0.17,0.50,2.818,11.041,0.91,219.55847,42.88288,3,4
2016-08-07T16:29:22.60Z,39.7067817,-75.0335356,40.656,0.14,-0.18,0.64,2.699,10.573,0.86,273.02094,35.09812,3,4
2016-08-07T16:29:22.80Z,39.7067819,-75.0335382,40.164,0.07,-0.11,0.55,2.587,10.104,0.78,273.02094,35.10010,3,4
2016-08-07T16:29:23.00Z,39.7067807,-75.0335399,40.490,0.16,0.00,0.41,2.503,9.689,0.71,273.02094,35.10192,3,4
2016-08-07T16:29:23.20Z,39.7067809,-75.0335408,39.866,0.06,0.01,0.39,2.434,9.365,0.73,273.02094,35.10381,3,4
2016-08-07T16:29:23.40Z,39.7067810,-75.0335416,39.906,0.04,-0.18,0.28,2.382,9.159,0.72,273.02094,35.10564,3,4
2016-08-07T16:29:23.60Z,39.7067808,-75.0335430,40.345,0.10,-0.10,0.32,2.328,8.978,0.77,273.02094,35.10762,3,4
2016-08-07T16:29:23.80Z,39.7067822,-75.0335441,39.518,0.11,0.05,0.38,2.267,8.727,0.74,273.02094,35.10951,3,4
2016-08-07T16:29:24.00Z,39.7067842,-75.0335450,38.536,0.08,-0.01,0.38,2.212,8.498,0.75,273.02094,35.11142,3,4
2016-08-07T16:29:24.20Z,39.7067855,-75.0335458,38.097,0.02,-0.08,0.39,2.170,8.364,0.78,273.02094,35.11343,3,4
2016-08-07T16:29:24.40Z,39.7067860,-75.0335467,37.892,0.09,-0.12,0.40,2.131,8.247,0.79,273.02094,35.11545,3,4
2016-08-07T16:29:24.60Z,39.7067847,-75.0335478,38.863,0.05,-0.01,0.44,2.104,8.179,0.83,273.02094,35.11757,3,4
2016-08-07T16:29:24.80Z,39.7067838,-75.0335483,39.528,0.03,0.03,0.35,2.088,8.120,0.85,273.02094,35.11973,3,4
2016-08-07T16:29:25.00Z,39.7067838,-75.0335485,39.622,0.10,-0.06,0.35,2.076,8.085,0.88,273.02094,35.12199,3,4
2016-08-07T16:29:25.20Z,39.7067834,-75.0335483,40.012,0.03,0.04,0.03,2.039,7.702,0.31,273.02094,35.12279,3,5
2016-08-07T16:29:25.40Z,39.7067833,-75.0335486,39.951,-0.05,0.00,0.11,2.025,7.451,0.46,273.02094,35.12397,3,5
2016-08-07T16:29:25.60Z,39.7067831,-75.0335489,39.912,0.03,-0.08,0.00,2.011,7.241,0.44,273.02094,35.12510,3,5
