time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2016-08-05T20:08:05.01Z,39.7059271,-75.0297423,68.448,2.78,3.47,-5.24,54.635,66.290,2.85,0.00000,48.39108,3,5
2016-08-05T20:08:05.22Z,39.7059362,-75.0297372,70.690,1.06,4.41,-4.00,37.477,37.355,1.60,57.15646,28.13969,3,5
2016-08-05T20:08:05.40Z,39.7059378,-75.0297324,71.471,0.23,4.95,-3.30,33.790,33.253,1.38,77.39415,19.73586,3,5
2016-08-05T20:08:05.58Z,39.7059360,-75.0298095,49.376,2.83,2.61,-2.81,64.926,81.961,3.02,77.39415,65.73445,3,5
2016-08-05T20:08:05.78Z,39.7059735,-75.0298266,53.871,2.03,4.05,-2.00,36.865,44.909,1.62,65.34600,26.45652,3,6
2016-08-05T20:08:06.00Z,39.7059662,-75.0298059,54.432,2.19,4.32,-1.20,36.613,47.190,1.13,64.21945,25.56756,3,5
2016-08-05T20:08:06.20Z,39.7059641,-75.0297973,54.744,1.42,5.19,-0.07,29.413,42.222,0.87,72.51902,13.15565,3,6
2016-08-05T20:08:06.40Z,39.7059569,-75.0297874,55.635,1.48,5.03,0.10,25.419,38.629,0.89,73.05949,12.95374,3,6
2016-08-05T20:08:06.60Z,39.7059567,-75.0297879,55.171,1.30,5.10,0.43,22.454,35.548,0.86,74.42513,12.46367,3,6
2016-08-05T20:08:06.80Z,39.7059612,-75.0297872,53.774,1.03,4.63,0.58,20.044,31.451,0.87,75.80334,13.54540,3,6
2016-08-05T20:08:07.00Z,39.7059534,-75.0297741,54.430,0.87,4.69,0.94,18.228,28.647,0.95,77.69083,13.12367,3,6
2016-08-05T20:08:07.20Z,39.7059501,-75.0297616,54.212,0.85,5.19,0.63,16.944,26.764,0.97,79.31313,11.97317,3,7
2016-08-05T20:08:07.40Z,39.7059427,-75.0297442,54.687,1.19,4.97,0.54,15.869,25.219,0.94,77.88670,11.87835,3,7
