time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),,,
2016-06-03T15:44:44.20Z,35.0184020,-79.1902795,96.538,-0.20,-0.41,-0.92,113.347,177.686,9.34,3,4
2016-06-03T15:44:44.40Z,35.0185033,-79.1901176,66.889,-0.28,-0.56,-1.00,33.511,46.565,2.43,3,5
2016-06-03T15:44:44.80Z,35.0185438,-79.1900568,57.062,-0.30,-0.37,-0.85,24.926,34.751,1.58,3,5
2016-06-03T15:44:45.00Z,35.0185638,-79.1900842,61.129,-0.27,-0.34,-0.66,22.719,32.743,1.52,3,4
2016-06-03T15:44:45.20Z,35.0185881,-79.1900914,60.664,-0.10,-0.24,-0.49,21.117,30.784,1.39,3,5
2016-06-03T15:44:45.40Z,35.0185749,-79.1901385,68.470,-0.14,-0.06,-0.23,15.482,22.085,0.89,3,8
2016-06-03T15:44:45.60Z,35.0185650,-79.1901635,73.302,-0.04,0.00,-0.07,11.264,15.862,0.47,3,8
2016-06-03T15:44:45.80Z,35.0185699,-79.1901709,74.297,0.01,-0.04,-0.02,9.215,12.933,0.38,3,8
2016-06-03T15:44:46.00Z,35.0185744,-79.1901775,74.894,0.15,-0.06,0.09,8.381,11.715,0.29,3,8
2016-06-03T15:44:46.20Z,35.0185789,-79.1901836,75.186,0.16,-0.02,0.19,7.927,11.073,0.32,3,8
2016-06-03T15:44:46.40Z,35.0185795,-79.1901922,76.126,-0.03,-0.01,0.19,7.489,10.437,0.34,3,8
2016-06-03T15:44:46.60Z,35.0185787,-79.1902043,77.920,0.05,0.06,0.22,6.774,9.364,0.36,3,8
2016-06-03T15:44:46.80Z,35.0185785,-79.1902143,79.482,0.23,0.25,0.26,6.432,8.826,0.35,3,8
2016-06-03T15:44:47.00Z,35.0185796,-79.1902175,79.851,-0.03,-0.10,0.17,5.976,8.282,0.26,3,8
2016-06-03T15:44:47.20Z,35.0185793,-79.1902211,80.354,0.21,0.27,0.20,5.590,7.736,0.30,3,8
2016-06-03T15:44:47.40Z,35.0185776,-79.1902210,80.429,0.02,0.21,0.14,5.436,7.552,0.42,3,8
2016-06-03T15:44:47.60Z,35.0185725,-79.1902175,80.446,0.07,-0.03,0.01,5.003,7.121,0.28,3,8
2016-06-03T15:44:47.80Z,35.0185710,-79.1902222,81.279,0.04,-0.01,-0.03,4.627,6.659,0.30,3,8
2016-06-03T15:44:48.00Z,35.0185718,-79.1902239,81.608,-0.05,-0.08,0.05,4.447,6.407,0.24,3,8
2016-06-03T15:44:48.20Z,35.0185741,-79.1902234,81.646,0.22,-0.26,-0.02,4.347,6.227,0.31,3,8
2016-06-03T15:44:48.40Z,35.0185763,-79.1902214,81.604,-0.01,0.08,0.00,4.258,6.069,0.28,3,8
2016-06-03T15:44:48.60Z,35.0185777,-79.1902198,81.663,-0.03,-0.01,-0.01,4.176,5.923,0.28,3,8
2016-06-03T15:44:48.80Z,35.0185792,-79.1902180,81.710,-0.01,0.15,0.09,4.088,5.787,0.29,3,8
2016-06-03T15:44:49.00Z,35.0185794,-79.1902155,81.647,0.13,-0.04,0.11,3.954,5.639,0.29,3,8
2016-06-03T15:44:49.20Z,35.0185805,-79.1902166,81.968,0.06,0.00,0.11,3.806,5.458,0.31,3,8
2016-06-03T15:44:49.40Z,35.0185811,-79.1902165,82.245,-0.04,0.21,0.12,3.727,5.320,0.29,3,8
2016-06-03T15:44:49.60Z,35.0185806,-79.1902168,82.543,-0.11,-0.04,0.09,3.679,5.221,0.28,3,8
2016-06-03T15:44:49.80Z,35.0185804,-79.1902167,82.769,0.16,0.03,0.08,3.636,5.137,0.37,3,8
2016-06-03T15:44:50.00Z,35.0185796,-79.1902173,83.021,0.06,-0.12,0.07,3.601,5.066,0.30,3,8
2016-06-03T15:44:50.20Z,35.0185795,-79.1902184,83.333,0.30,-0.12,0.06,3.573,5.007,0.40,3,8
2016-06-03T15:44:50.40Z,35.0185773,-79.1902184,83.553,-0.23,-0.07,0.11,3.492,4.924,0.37,3,8
2016-06-03T15:44:50.60Z,35.0185774,-79.1902190,83.807,0.11,0.03,0.12,3.377,4.811,0.33,3,8
2016-06-03T15:44:50.80Z,35.0185779,-79.1902172,83.646,0.05,0.25,0.06,3.313,4.733,0.31,3,8
2016-06-03T15:44:51.00Z,35.0185784,-79.1902170,83.863,0.08,0.23,0.08,3.276,4.680,0.33,3,8
2016-06-03T15:44:51.20Z,35.0185790,-79.1902155,83.747,0.09,0.14,0.07,3.133,4.547,0.29,3,8
2016-06-03T15:44:51.40Z,35.0185763,-79.1902141,83.798,0.02,0.01,-0.04,2.996,4.430,0.31,3,8
2016-06-03T15:44:51.60Z,35.0185756,-79.1902145,83.787,-0.08,0.00,-0.12,2.875,4.308,0.51,3,8
2016-06-03T15:44:51.80Z,35.0185762,-79.1902151,83.954,-0.09,-0.02,-0.16,2.804,4.223,0.52,3,8
2016-06-03T15:44:52.00Z,35.0185753,-79.1902154,84.090,-0.09,-0.17,-0.18,2.772,4.177,0.39,3,8
2016-06-03T15:44:52.20Z,35.0185749,-79.1902150,84.239,-0.03,0.15,-0.02,2.756,4.148,0.43,3,8
